user,login_count_mean,login_count_std,after_hours_logins_mean,after_hours_logins_std,usb_events_mean,usb_events_std,files_accessed_mean,files_accessed_std,unique_files_mean,unique_files_std,websites_visited_mean,websites_visited_std,email_count_mean,email_count_std,email_size_mean,email_size_std,attachments_mean,attachments_std,wikileaks_visits_mean,wikileaks_visits_std,job_site_visits_mean,job_site_visits_std,keylogger_downloads_mean,keylogger_downloads_std
AAE0190,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,143.0,1.0,13.568181818181818,1.6480817217365764,408315.0227272727,59667.0652941254,5.25,3.79182106338685,0.0,1.0,4.636363636363637,5.9144714485620975,0.0,1.0
AAF0535,2.0,1.0,0.0,1.0,2.0,1.0,4.0,1.4142135623730951,4.0,1.4142135623730951,29.0,1.0,3.0,1.0,116082.5,51422.92644822929,2.5,2.1213203435596424,0.0,1.0,0.5,0.7071067811865476,0.0,1.0
AAF0791,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,95.0,1.0,8.931818181818182,0.45226701686664533,266355.79545454547,32796.338514847106,0.0,1.0,0.0,1.0,7.204545454545454,5.634526229870187,0.0,1.0
AAL0706,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,1.0,0.9772727272727273,0.15075567228888181,29067.295454545456,9837.125820027342,0.20454545454545456,0.6675029990193216,0.0,1.0,0.0,1.0,0.0,1.0
AAM0658,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,29.0,1.0,2.977272727272727,0.15075567228888181,87715.40909090909,15303.352492286496,2.2954545454545454,2.49258943955175,0.0,1.0,0.13636363636363635,0.3471417571787742,0.0,1.0
AAN0823,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,28621.68181818182,7791.295858342171,0.38636363636363635,0.7840238810704654,0.0,1.0,0.3181818181818182,0.6741998624632423,0.0,1.0
AAV0450,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,1.0,0.9545454545454546,0.21070705494148545,27551.159090909092,10062.000933614296,0.36363636363636365,0.865109459156096,0.0,1.0,0.13636363636363635,0.3471417571787742,0.0,1.0
AAW0353,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,29.0,1.0,2.840909090909091,0.525763313013358,82133.25,21813.740145195028,0.0,1.0,0.0,1.0,2.659090909090909,2.079167787653935,0.0,1.0
ABC0174,2.727272727272727,0.4494665749754946,0.0,1.0,4.1454545454545455,1.8400702665546729,1.709090909090909,1.7498436678608924,1.709090909090909,1.7498436678608924,162.0,1.0,14.581818181818182,1.370197459288652,432639.67272727273,52295.03272709508,3.327272727272727,3.0371437938040446,0.0,1.0,0.0,1.0,0.0,1.0
ABC0253,2.772727272727273,0.4239151057857212,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,95.0,1.0,8.954545454545455,0.21070705494148548,265191.0681818182,28718.89722116598,1.3863636363636365,1.9555039687175761,0.0,1.0,2.25,3.491684473877369,0.0,1.0
ABH0663,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,29.0,1.0,2.909090909090909,0.47339357823636913,88102.90909090909,22048.373311107596,0.5681818181818182,1.4370144643755416,0.0,1.0,2.227272727272727,1.6962837131559008,0.0,1.0
ABM0845,2.977272727272727,0.6283472733951241,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,1.0,1.0,1.0,29843.295454545456,10601.153845887007,0.1590909090909091,0.568276947638877,0.0,1.0,0.0,1.0,0.0,1.0
ABN0239,2.840909090909091,0.36998942902446824,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,95.0,1.0,8.659090909090908,1.1996740219681348,255008.47727272726,39269.3890824195,3.1136363636363638,3.214906480544486,0.0,1.0,6.2272727272727275,6.494590365597612,0.0,1.0
ACC0042,8.045454545454545,2.3022188029139383,2.159090909090909,1.7379911126994896,0.0,1.0,0.0,1.0,0.0,1.0,113.8409090909091,1.055289706022174,10.568181818181818,1.5157733044091417,322771.8409090909,56168.49586318152,5.318181818181818,4.079288169052704,0.0,1.0,0.09090909090909091,0.36204726777242763,0.0,1.0
ACV0812,3.6444444444444444,1.0035291261695929,0.2222222222222222,0.5173748811807234,0.0,1.0,0.0,1.0,0.0,1.0,88.0,13.416407864998737,8.444444444444445,1.8285060413994656,253435.2888888889,59958.646574732964,4.933333333333334,3.738011138657464,0.0,1.0,0.06666666666666667,0.2522624895547565,0.0,1.0
ADC0391,2.7954545454545454,0.4080324573583921,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,95.0,1.0,8.590909090909092,1.4518341538026966,261702.81818181818,56922.16649289839,6.454545454545454,4.5924839782963955,0.0,1.0,8.522727272727273,7.665958082277707,0.0,1.0
ADD0846,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,1.0,0.9318181818181818,0.25497170592935275,29991.75,13595.59971585369,0.25,0.7509683670915127,0.0,1.0,0.3181818181818182,0.601267160862375,0.0,1.0
ADF0397,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,95.0,1.0,8.568181818181818,1.5003523194411477,260850.45454545456,52017.9164870052,1.3181818181818181,1.9262293238433024,0.0,1.0,3.0681818181818183,3.187167053456483,0.0,1.0
AES0827,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,1.0,0.9545454545454546,0.21070705494148542,27877.31818181818,12587.711498923338,0.0,1.0,0.0,1.0,0.09090909090909091,0.29080336345115265,0.0,1.0
AGB0186,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,29.0,1.0,2.9318181818181817,0.2549717059293528,93037.54545454546,19512.794901252637,0.0,1.0,0.0,1.0,1.8863636363636365,1.602554778527654,0.0,1.0
AGB0643,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,29.0,1.0,2.8863636363636362,0.3867520743564635,85295.13636363637,19503.39043583449,0.9318181818181818,1.6621326630053255,0.0,1.0,0.9545454545454546,1.0332730892438853,0.0,1.0
AHC0142,3.061224489795918,0.5555838995037159,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,95.0,1.0,8.73469387755102,1.18630220650982,263973.5714285714,43202.65165714175,4.285714285714286,2.9083213944358577,0.0,1.0,0.9795918367346939,1.2988744473319864,0.0,1.0
AHD0848,3.019607843137255,0.7068294300163619,0.0,1.0,0.7058823529411765,1.1881770515720094,0.7058823529411765,1.712239675361587,0.7058823529411765,1.712239675361587,10.0,1.0,1.0,1.0,28536.41176470588,9687.485703063454,0.8823529411764706,1.6327529981418427,0.0,1.0,0.11764705882352941,0.47527082062880366,0.0,1.0
AHG0634,2.96875,0.6948833738303186,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,30.0,1.0,2.90625,0.5303300858899107,82879.59375,20620.657586053123,1.71875,1.8705592574104333,0.0,1.0,0.90625,1.2010580013390881,0.0,1.0
AHM0410,3.2954545454545454,0.7014783543394374,0.0,1.0,2.1363636363636362,1.8997051067469455,6.659090909090909,5.339380600860522,6.659090909090909,5.339380600860522,95.0,1.0,8.659090909090908,0.913546165332931,264146.79545454547,33904.4538424163,4.909090909090909,3.0638035474863354,0.0,1.0,7.613636363636363,6.655006540247723,0.0,1.0
AIB0948,3.272727272727273,0.7270084086278816,0.0,1.0,17.5,0.9523532664857332,4.386363636363637,3.0055445591858367,4.386363636363637,3.0055445591858367,10.0,1.0,0.9318181818181818,0.25497170592935264,27318.272727272728,11158.373471458159,0.18181818181818182,0.5816067269023053,0.0,1.0,0.0,1.0,0.0,1.0
AIH0675,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,92.8409090909091,14.321788867443772,8.545454545454545,1.7043657410547726,255537.77272727274,61357.25499979555,3.5454545454545454,2.976298195976708,0.0,1.0,1.8863636363636365,2.3048574499724372,0.0,1.0
AIM0627,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,162.0,1.0,14.681818181818182,1.3938857727836635,444770.0909090909,55907.64460721294,0.0,1.0,0.0,1.0,0.022727272727272728,0.1507556722888818,0.0,1.0
AIP0394,3.1333333333333333,0.9438798074485388,0.24444444444444444,0.6451058953083719,0.0,1.0,0.0,1.0,0.0,1.0,92.88888888888889,14.161763857498668,8.644444444444444,1.4005770816403367,261322.57777777777,47847.85918764187,4.911111111111111,3.7708343797085435,0.0,1.0,5.666666666666667,4.733824131618212,0.0,1.0
AIP0982,2.8863636363636362,0.6181709363549139,0.0,1.0,2.340909090909091,1.854512809064742,19.5,11.459737405165479,19.5,11.459737405165479,100.0,1.0,9.545454545454545,1.9102483152178964,279465.8181818182,63646.395865102495,4.886363636363637,3.584306290710056,0.0,1.0,0.1590909090909091,0.42825670513936936,0.0,1.0
AIS0405,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,95.0,1.0,8.5,1.6210820388691587,249009.61363636365,58656.3650877922,4.704545454545454,4.391215043245476,0.0,1.0,3.3181818181818183,3.032941064553857,0.0,1.0
AJC0840,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,1.0,1.1363636363636365,0.34714175717877416,36702.204545454544,16865.36418236202,0.22727272727272727,0.6047731215432992,0.0,1.0,0.6590909090909091,0.8336856196874052,0.0,1.0
AJD0074,3.061224489795918,0.6261044663002242,0.0,1.0,1.0408163265306123,1.5806009362669284,1.7346938775510203,2.729281882077543,1.7346938775510203,2.729281882077543,114.0,1.0,9.73469387755102,0.7004614611121738,295349.2653061224,38323.408262105026,5.6938775510204085,3.6182643262611256,0.0,1.0,0.0,1.0,0.0,1.0
AJF0370,8.772727272727273,2.916382247282094,2.6136363636363638,2.3249497027908794,23.068181818181817,3.1504722958793963,29.34090909090909,7.489351143435784,29.34090909090909,7.489351143435784,114.0,1.0,10.681818181818182,1.0948659740155784,318223.0909090909,46892.50626541524,5.2727272727272725,3.1354213126166943,0.0,1.0,7.5,6.086584561797114,0.0,1.0
AJH0175,2.311111111111111,0.668180100320749,0.17777777777777778,0.4903101471559001,0.9777777777777777,1.5149090715120477,0.5555555555555556,1.3577313222557486,0.5555555555555556,1.3577313222557486,149.6,22.807893370497855,14.311111111111112,2.583357771145409,429447.44444444444,88724.67887299543,4.222222222222222,4.670453009412612,0.0,1.0,3.066666666666667,3.3056425589093457,0.0,1.0
AJL0462,2.7954545454545454,0.5531955983003285,0.045454545454545456,0.3015113445777636,0.0,1.0,0.0,1.0,0.0,1.0,9.0,1.0,1.0,1.0,28700.477272727272,7917.6611107439885,0.5227272727272727,0.9997356944581822,0.0,1.0,0.0,1.0,0.0,1.0
AJN0607,3.272727272727273,0.7583223945807097,0.0,1.0,5.954545454545454,1.999471388916365,2.272727272727273,2.5368322708452156,2.272727272727273,2.5368322708452156,162.0,1.0,14.681818181818182,0.9829411790754312,429659.79545454547,50121.31376114592,9.613636363636363,3.7554048435704033,0.0,1.0,3.090909090909091,2.6660499639256563,0.0,1.0
AJP0723,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,1.0,0.9318181818181818,0.2549717059293527,28603.659090909092,12086.854896940018,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
AJR0319,2.811320754716981,0.394997749437839,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,162.0,1.0,14.09433962264151,2.2124138483304767,437220.9433962264,70988.95226111841,7.245283018867925,3.837595703529042,0.0,1.0,0.0,1.0,0.0,1.0
AJR0932,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,95.0,1.0,8.863636363636363,0.5099434118587054,263400.9090909091,29763.03051728668,0.0,1.0,0.0,1.0,0.18181818181818182,0.6567264579655415,0.0,1.0
AKC0924,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,95.0,1.0,8.818181818181818,0.8699833538297174,263604.6590909091,33771.82504309684,3.7045454545454546,3.8190437464659555,0.0,1.0,1.4772727272727273,1.810674246300434,0.0,1.0
AKF0709,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,10.0,1.0,0.9772727272727273,0.15075567228888181,29414.68181818182,10696.738530913593,0.0,1.0,0.0,1.0,0.25,0.5337449961641164,0.0,1.0
AKH0758,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,29.0,1.0,2.977272727272727,0.15075567228888176,89678.90909090909,16405.394716540555,0.8409090909090909,1.4932901370476555,0.0,1.0,0.022727272727272728,0.1507556722888818,0.0,1.0
AKK0329,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,29.0,1.0,3.0,1.0,89019.20454545454,16860.539207051977,2.25,2.4316230583037366,0.0,1.0,1.0227272727272727,1.1099682870734047,0.0,1.0
AKR0057,3.022727272727273,0.6283472733951241,0.0,1.0,3.6136363636363638,1.573263665876723,2.409090909090909,2.1275401432900822,2.409090909090909,2.1275401432900822,114.0,1.0,10.818181818181818,0.5816067269023053,324296.88636363635,43349.671383758025,1.3181818181818181,1.6812609784924135,0.0,1.0,0.0,1.0,0.0,1.0
AKW0167,2.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,114.0,1.0,10.590909090909092,1.2634059138579525,320326.54545454547,52002.51493267867,2.4545454545454546,2.9051241454043613,0.0,1.0,0.0,1.0,0.0,1.0
